City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,1.93,76,86,15.59,TF,1699318419
1,arkhangel'sk,64.5401,40.5433,2.85,96,100,2.12,RU,1699318420
2,maracaibo,10.6317,-71.6406,27.04,84,100,2.7,VE,1699318319
3,newman,37.3138,-121.0208,20.72,72,100,1.79,US,1699318422
4,fomboni,-12.28,43.7425,27.07,76,0,7.15,KM,1699318422
5,bandundu,-3.3167,17.3667,22.4,96,100,1.16,CD,1699318423
6,luderitz,-26.6481,15.1594,14.36,82,0,4.65,NA,1699318424
7,arar,30.9753,41.0381,20.01,34,0,2.06,SA,1699318424
8,ilulissat,69.2167,-51.1,-12.49,69,16,4.18,GL,1699318425
9,albany,42.6001,-73.9662,8.1,66,25,0.89,US,1699318311
10,gemena,3.25,19.7667,21.91,99,100,0.61,CD,1699318427
11,college,64.8569,-147.8028,-6.97,89,99,0.77,US,1699318427
12,bilibino,68.0546,166.4372,-17.88,95,100,0.11,RU,1699318428
13,inarajan village,13.2736,144.7484,32.54,80,21,6.76,GU,1699318429
14,port saint john's,-31.6229,29.5448,20.91,96,100,2.66,ZA,1699318430
15,edinburgh of the seven seas,-37.0676,-12.3116,15.66,97,99,12.65,SH,1699318430
16,sao vicente,-23.9631,-46.3919,22.19,46,88,3.13,BR,1699318431
17,isfahan,32.6572,51.6776,1.8,48,16,0.58,IR,1699318134
18,baganga,7.5739,126.56,29.89,70,100,3.04,PH,1699318432
19,puerto ayora,-0.7393,-90.3518,25.31,87,61,4.02,EC,1699318433
20,zhalantun,48.0,122.7167,-10.67,73,11,2.13,CN,1699318422
21,taurage,55.2522,22.2897,9.12,87,100,5.8,LT,1699318434
22,bethel,41.3712,-73.414,10.36,85,71,1.54,US,1699318435
23,geraldton,-28.7667,114.6,22.23,64,100,8.23,AU,1699318436
24,caribou,46.8606,-68.012,-0.76,63,0,1.54,US,1699318437
25,stanley,54.868,-1.6985,7.01,92,0,2.57,GB,1699318439
26,isafjordur,66.0755,-23.124,1.65,89,100,4.56,IS,1699318440
27,ushuaia,-54.8,-68.3,10.81,94,40,5.14,AR,1699318441
28,grytviken,-54.2811,-36.5092,2.14,90,97,1.31,GS,1699318247
29,adamstown,-25.066,-130.1015,22.81,83,100,7.48,PN,1699318442
30,aasiaat,68.7098,-52.8699,-13.41,82,33,3.71,GL,1699318443
31,berekua,15.2333,-61.3167,27.68,81,66,4.36,DM,1699318443
32,pizarro,4.9533,-77.366,24.91,91,100,1.58,CO,1699318444
33,arno,60.1167,18.6333,5.99,94,100,2.04,SE,1699318445
